Casos,Tama�o 10,Tama�o 20,Tama�o 30,Tama�o 40,Tama�o 50,Tama�o 60,Tama�o 70,Tama�o 80,Tama�o 90,Tama�o 100,Tama�o 110,Tama�o 120,Tama�o 130,Tama�o 140,Tama�o 150,Tama�o 160,Tama�o 170,Tama�o 180,Tama�o 190,Tama�o 200,Tama�o 210,Tama�o 220,Tama�o 230,Tama�o 240,Tama�o 250,Tama�o 260,Tama�o 270,Tama�o 280,Tama�o 290,Tama�o 300,Tama�o 310,Tama�o 320,Tama�o 330,Tama�o 340,Tama�o 350,Tama�o 360,Tama�o 370,Tama�o 380,Tama�o 390,Tama�o 400,Tama�o 410,Tama�o 420,Tama�o 430,Tama�o 440,Tama�o 450,Tama�o 460,Tama�o 470,Tama�o 480,Tama�o 490,Tama�o 500,Tama�o 510,Tama�o 520,Tama�o 530,Tama�o 540,Tama�o 550,Tama�o 560,Tama�o 570,Tama�o 580,Tama�o 590,Tama�o 600,Tama�o 610,Tama�o 620,Tama�o 630,Tama�o 640,Tama�o 650,Tama�o 660,Tama�o 670,Tama�o 680,Tama�o 690,Tama�o 700,Tama�o 710,Tama�o 720,Tama�o 730,Tama�o 740,Tama�o 750,Tama�o 760,Tama�o 770,Tama�o 780,Tama�o 790,Tama�o 800,Tama�o 810,Tama�o 820,Tama�o 830,Tama�o 840,Tama�o 850,Tama�o 860,Tama�o 870,Tama�o 880,Tama�o 890,Tama�o 900,Tama�o 910,Tama�o 920,Tama�o 930,Tama�o 940,Tama�o 950,Tama�o 960,Tama�o 970,Tama�o 980,Tama�o 990,Tama�o 1000
Caso 1,52.0000000,43.0000000,59.0000000,73.0000000,136.0000000,120.0000000,137.0000000,159.0000000,189.0000000,208.0000000,235.0000000,243.0000000,567.0000000,298.0000000,328.0000000,342.0000000,362.0000000,395.0000000,404.0000000,428.0000000,468.0000000,476.0000000,499.0000000,571.0000000,976.0000000,596.0000000,599.0000000,643.0000000,657.0000000,657.0000000,679.0000000,703.0000000,752.0000000,770.0000000,797.0000000,859.0000000,861.0000000,842.0000000,975.0000000,968.0000000,927.0000000,944.0000000,955.0000000,1169.0000000,1023.0000000,1047.0000000,1056.0000000,1076.0000000,1100.0000000,1138.0000000,1455.0000000,1237.0000000,1349.0000000,1222.0000000,1340.0000000,1295.0000000,1380.0000000,1349.0000000,1376.0000000,1436.0000000,1395.0000000,1448.0000000,1499.0000000,1488.0000000,1591.0000000,1583.0000000,1762.0000000,1587.0000000,1666.0000000,1708.0000000,1725.0000000,1709.0000000,1823.0000000,1735.0000000,1749.0000000,1804.0000000,1774.0000000,1837.0000000,2188.0000000,1938.0000000,2001.0000000,1995.0000000,1967.0000000,2028.0000000,2075.0000000,2094.0000000,2138.0000000,2075.0000000,2107.0000000,2101.0000000,3570.0000000,2406.0000000,2258.0000000,2279.0000000,2396.0000000,3929.0000000,2357.0000000,2437.0000000,2506.0000000,2513.0000000,
Caso 2,21.0000000,32.0000000,54.0000000,77.0000000,96.0000000,114.0000000,134.0000000,160.0000000,177.0000000,195.0000000,216.0000000,236.0000000,256.0000000,289.0000000,299.0000000,401.0000000,391.0000000,425.0000000,401.0000000,424.0000000,441.0000000,489.0000000,478.0000000,510.0000000,534.0000000,551.0000000,581.0000000,808.0000000,684.0000000,703.0000000,719.0000000,702.0000000,732.0000000,756.0000000,782.0000000,850.0000000,891.0000000,831.0000000,863.0000000,897.0000000,1617.0000000,991.0000000,962.0000000,983.0000000,992.0000000,1078.0000000,1100.0000000,1108.0000000,1164.0000000,1386.0000000,1195.0000000,1473.0000000,1271.0000000,1265.0000000,1291.0000000,1414.0000000,1339.0000000,1433.0000000,1442.0000000,1617.0000000,1477.0000000,1637.0000000,1467.0000000,2324.0000000,1588.0000000,1541.0000000,1614.0000000,1586.0000000,1733.0000000,1632.0000000,1649.0000000,2983.0000000,1869.0000000,1754.0000000,1805.0000000,1802.0000000,1838.0000000,1857.0000000,2036.0000000,1948.0000000,1886.0000000,1949.0000000,1999.0000000,3003.0000000,2457.0000000,2193.0000000,2137.0000000,2115.0000000,2162.0000000,2180.0000000,2189.0000000,2256.0000000,2281.0000000,2288.0000000,2321.0000000,2357.0000000,2553.0000000,2639.0000000,2512.0000000,2390.0000000,
Caso 3,20.0000000,34.0000000,56.0000000,77.0000000,102.0000000,114.0000000,135.0000000,157.0000000,184.0000000,200.0000000,228.0000000,234.0000000,261.0000000,360.0000000,300.0000000,326.0000000,351.0000000,375.0000000,454.0000000,412.0000000,436.0000000,468.0000000,478.0000000,506.0000000,572.0000000,547.0000000,595.0000000,612.0000000,725.0000000,670.0000000,698.0000000,915.0000000,968.0000000,787.0000000,778.0000000,804.0000000,833.0000000,1082.0000000,920.0000000,904.0000000,934.0000000,954.0000000,1021.0000000,1010.0000000,1019.0000000,1016.0000000,1170.0000000,1098.0000000,1107.0000000,1159.0000000,1185.0000000,1161.0000000,1179.0000000,1266.0000000,1260.0000000,1297.0000000,1567.0000000,1354.0000000,1518.0000000,1394.0000000,1400.0000000,1701.0000000,1450.0000000,1569.0000000,1516.0000000,1594.0000000,1602.0000000,1638.0000000,1940.0000000,1707.0000000,1648.0000000,1733.0000000,1845.0000000,1769.0000000,2128.0000000,1806.0000000,1843.0000000,1820.0000000,2017.0000000,1936.0000000,1954.0000000,1965.0000000,2044.0000000,2049.0000000,2005.0000000,2170.0000000,2231.0000000,2127.0000000,2700.0000000,2148.0000000,2549.0000000,2285.0000000,2338.0000000,2286.0000000,2388.0000000,2395.0000000,2779.0000000,2421.0000000,2433.0000000,2527.0000000,
Caso 4,22.0000000,33.0000000,55.0000000,72.0000000,96.0000000,105.0000000,141.0000000,163.0000000,184.0000000,198.0000000,220.0000000,238.0000000,257.0000000,291.0000000,312.0000000,384.0000000,353.0000000,374.0000000,3569.0000000,1041.0000000,452.0000000,464.0000000,484.0000000,498.0000000,531.0000000,566.0000000,583.0000000,623.0000000,632.0000000,640.0000000,753.0000000,699.0000000,725.0000000,731.0000000,894.0000000,846.0000000,898.0000000,833.0000000,873.0000000,898.0000000,899.0000000,1007.0000000,992.0000000,994.0000000,1014.0000000,1235.0000000,1141.0000000,1067.0000000,1114.0000000,1197.0000000,1291.0000000,1146.0000000,1804.0000000,1336.0000000,1322.0000000,1452.0000000,1322.0000000,1351.0000000,1424.0000000,1409.0000000,1470.0000000,1437.0000000,1538.0000000,1491.0000000,1593.0000000,1633.0000000,1733.0000000,1635.0000000,1625.0000000,1712.0000000,1703.0000000,1790.0000000,1712.0000000,1710.0000000,1913.0000000,1764.0000000,2192.0000000,1896.0000000,1865.0000000,1957.0000000,1978.0000000,2038.0000000,2022.0000000,2101.0000000,2182.0000000,2118.0000000,2106.0000000,2358.0000000,2080.0000000,2241.0000000,2209.0000000,2220.0000000,2288.0000000,2363.0000000,2317.0000000,2374.0000000,2645.0000000,2384.0000000,2388.0000000,2538.0000000,
Caso 5,22.0000000,32.0000000,51.0000000,74.0000000,99.0000000,108.0000000,141.0000000,154.0000000,181.0000000,194.0000000,218.0000000,238.0000000,250.0000000,298.0000000,296.0000000,336.0000000,354.0000000,375.0000000,387.0000000,427.0000000,457.0000000,979.0000000,484.0000000,504.0000000,537.0000000,533.0000000,591.0000000,605.0000000,641.0000000,635.0000000,687.0000000,877.0000000,779.0000000,804.0000000,786.0000000,815.0000000,841.0000000,920.0000000,901.0000000,890.0000000,924.0000000,2280.0000000,1204.0000000,1050.0000000,1014.0000000,1032.0000000,1135.0000000,1122.0000000,1109.0000000,1201.0000000,1206.0000000,1146.0000000,1263.0000000,1234.0000000,1263.0000000,1339.0000000,1322.0000000,1419.0000000,1413.0000000,1366.0000000,1883.0000000,1467.0000000,1472.0000000,1543.0000000,1546.0000000,1621.0000000,1718.0000000,1618.0000000,1618.0000000,1941.0000000,1657.0000000,1723.0000000,1698.0000000,1854.0000000,1825.0000000,2009.0000000,1871.0000000,1786.0000000,1958.0000000,2307.0000000,1889.0000000,2129.0000000,2041.0000000,2045.0000000,2120.0000000,2500.0000000,2109.0000000,2502.0000000,2597.0000000,2171.0000000,2179.0000000,2180.0000000,2267.0000000,2258.0000000,2307.0000000,2485.0000000,2434.0000000,2382.0000000,2445.0000000,2443.0000000,
Caso 6,21.0000000,33.0000000,51.0000000,72.0000000,99.0000000,105.0000000,142.0000000,164.0000000,185.0000000,199.0000000,225.0000000,229.0000000,318.0000000,296.0000000,308.0000000,338.0000000,356.0000000,391.0000000,397.0000000,418.0000000,508.0000000,1052.0000000,555.0000000,551.0000000,525.0000000,539.0000000,580.0000000,597.0000000,628.0000000,644.0000000,671.0000000,1353.0000000,797.0000000,755.0000000,772.0000000,796.0000000,823.0000000,913.0000000,952.0000000,900.0000000,914.0000000,936.0000000,1027.0000000,1099.0000000,999.0000000,1017.0000000,1118.0000000,1179.0000000,1105.0000000,1131.0000000,1187.0000000,1182.0000000,1199.0000000,1274.0000000,1245.0000000,1267.0000000,1466.0000000,1337.0000000,1507.0000000,1445.0000000,1477.0000000,1670.0000000,1493.0000000,1554.0000000,1562.0000000,1914.0000000,1605.0000000,1672.0000000,1711.0000000,1708.0000000,1699.0000000,1734.0000000,1778.0000000,1803.0000000,2082.0000000,4698.0000000,1923.0000000,1825.0000000,1841.0000000,1936.0000000,1939.0000000,1917.0000000,2057.0000000,2082.0000000,2286.0000000,2311.0000000,2275.0000000,2291.0000000,2124.0000000,2211.0000000,2229.0000000,2359.0000000,2210.0000000,2320.0000000,2315.0000000,2334.0000000,2421.0000000,2432.0000000,2850.0000000,2489.0000000,
Caso 7,21.0000000,59.0000000,65.0000000,80.0000000,145.0000000,115.0000000,136.0000000,177.0000000,225.0000000,231.0000000,408.0000000,272.0000000,283.0000000,297.0000000,311.0000000,348.0000000,358.0000000,381.0000000,398.0000000,433.0000000,454.0000000,477.0000000,483.0000000,501.0000000,536.0000000,595.0000000,647.0000000,637.0000000,639.0000000,647.0000000,694.0000000,700.0000000,739.0000000,1184.0000000,801.0000000,806.0000000,898.0000000,909.0000000,863.0000000,968.0000000,971.0000000,993.0000000,1021.0000000,1351.0000000,1136.0000000,1028.0000000,1078.0000000,1161.0000000,1133.0000000,1141.0000000,1232.0000000,1243.0000000,1266.0000000,2016.0000000,1347.0000000,1311.0000000,1770.0000000,1404.0000000,1377.0000000,1471.0000000,1408.0000000,1790.0000000,1481.0000000,3597.0000000,1596.0000000,1537.0000000,1627.0000000,1550.0000000,1703.0000000,1676.0000000,1745.0000000,1735.0000000,1793.0000000,2691.0000000,1782.0000000,1824.0000000,1939.0000000,1797.0000000,1945.0000000,1991.0000000,1918.0000000,1940.0000000,2022.0000000,2096.0000000,1986.0000000,2217.0000000,2133.0000000,2143.0000000,2731.0000000,2113.0000000,2212.0000000,2501.0000000,2316.0000000,2345.0000000,2380.0000000,2358.0000000,2269.0000000,2348.0000000,2436.0000000,2429.0000000,
Caso 8,21.0000000,36.0000000,53.0000000,74.0000000,98.0000000,109.0000000,143.0000000,164.0000000,185.0000000,198.0000000,221.0000000,239.0000000,260.0000000,282.0000000,304.0000000,334.0000000,350.0000000,378.0000000,403.0000000,433.0000000,459.0000000,462.0000000,479.0000000,565.0000000,533.0000000,601.0000000,586.0000000,620.0000000,630.0000000,640.0000000,781.0000000,735.0000000,717.0000000,740.0000000,779.0000000,787.0000000,809.0000000,838.0000000,859.0000000,894.0000000,920.0000000,927.0000000,978.0000000,1017.0000000,1014.0000000,1034.0000000,1147.0000000,1080.0000000,1181.0000000,1187.0000000,1197.0000000,1157.0000000,1272.0000000,1301.0000000,1331.0000000,1284.0000000,1341.0000000,1337.0000000,1479.0000000,1386.0000000,1403.0000000,1437.0000000,1474.0000000,1534.0000000,1502.0000000,1546.0000000,1618.0000000,1861.0000000,1590.0000000,1681.0000000,1658.0000000,1660.0000000,1778.0000000,1777.0000000,1751.0000000,1813.0000000,1809.0000000,1845.0000000,2074.0000000,1906.0000000,1926.0000000,1987.0000000,2312.0000000,1982.0000000,1993.0000000,2140.0000000,2225.0000000,2156.0000000,2135.0000000,2507.0000000,2325.0000000,2144.0000000,2238.0000000,2316.0000000,2256.0000000,2914.0000000,2398.0000000,2384.0000000,2383.0000000,2439.0000000,
Caso 9,24.0000000,37.0000000,57.0000000,76.0000000,103.0000000,113.0000000,140.0000000,161.0000000,186.0000000,205.0000000,226.0000000,245.0000000,259.0000000,298.0000000,305.0000000,338.0000000,355.0000000,381.0000000,406.0000000,429.0000000,442.0000000,473.0000000,541.0000000,513.0000000,530.0000000,595.0000000,610.0000000,606.0000000,699.0000000,654.0000000,672.0000000,690.0000000,733.0000000,754.0000000,791.0000000,799.0000000,872.0000000,833.0000000,854.0000000,905.0000000,1230.0000000,1022.0000000,970.0000000,1002.0000000,1010.0000000,1040.0000000,1105.0000000,1068.0000000,1107.0000000,1145.0000000,1257.0000000,1160.0000000,1186.0000000,1300.0000000,1338.0000000,1342.0000000,1391.0000000,1325.0000000,1344.0000000,1393.0000000,1394.0000000,1424.0000000,1556.0000000,1496.0000000,1594.0000000,1578.0000000,1567.0000000,1686.0000000,1676.0000000,1656.0000000,1660.0000000,1786.0000000,1887.0000000,1722.0000000,1758.0000000,1828.0000000,1760.0000000,1866.0000000,1899.0000000,1932.0000000,1914.0000000,1938.0000000,2022.0000000,2200.0000000,2022.0000000,4216.0000000,2503.0000000,2061.0000000,2194.0000000,2131.0000000,2343.0000000,2344.0000000,2190.0000000,2256.0000000,2278.0000000,2252.0000000,2283.0000000,2323.0000000,2330.0000000,2418.0000000,
Caso 10,21.0000000,37.0000000,53.0000000,76.0000000,97.0000000,108.0000000,137.0000000,167.0000000,178.0000000,198.0000000,216.0000000,228.0000000,244.0000000,284.0000000,300.0000000,328.0000000,345.0000000,378.0000000,390.0000000,413.0000000,439.0000000,457.0000000,544.0000000,515.0000000,523.0000000,540.0000000,617.0000000,611.0000000,658.0000000,717.0000000,702.0000000,779.0000000,752.0000000,807.0000000,780.0000000,798.0000000,818.0000000,850.0000000,1470.0000000,944.0000000,920.0000000,935.0000000,1445.0000000,1092.0000000,1226.0000000,1179.0000000,1056.0000000,1126.0000000,1114.0000000,1124.0000000,1156.0000000,1221.0000000,1191.0000000,1230.0000000,1235.0000000,1300.0000000,1350.0000000,1337.0000000,1414.0000000,1389.0000000,1407.0000000,1498.0000000,1508.0000000,1464.0000000,1511.0000000,2211.0000000,1615.0000000,1584.0000000,1619.0000000,1672.0000000,1705.0000000,1658.0000000,1689.0000000,1717.0000000,1805.0000000,1747.0000000,1839.0000000,1877.0000000,1883.0000000,1866.0000000,2309.0000000,2335.0000000,1931.0000000,1950.0000000,2166.0000000,2075.0000000,2143.0000000,2407.0000000,2151.0000000,2147.0000000,2159.0000000,2171.0000000,2180.0000000,2255.0000000,2257.0000000,2338.0000000,2290.0000000,2369.0000000,2448.0000000,2373.0000000,
